Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
8864: This is a plane. Speed: 75, distance to destination: 1884.000000, time to distance: 25.120000, maximum flight distance: 2374, capacity: 239
8865: This is a ship. Speed: 8, distance to destination: 1499.000000, time to distance: 187.375000, ship type: liner, displacement: 16760
8866: This is a plane. Speed: 127, distance to destination: 1901.000000, time to distance: 14.968504, maximum flight distance: 3823, capacity: 137
8867: This is a plane. Speed: 164, distance to destination: 258.000000, time to distance: 1.573171, maximum flight distance: 3687, capacity: 177
8868: This is a ship. Speed: 101, distance to destination: 1795.000000, time to distance: 17.772277, ship type: tanker, displacement: 8525
8869: This is a ship. Speed: 169, distance to destination: 307.000000, time to distance: 1.816568, ship type: tugboat, displacement: 2410
8870: This is a plane. Speed: 150, distance to destination: 362.000000, time to distance: 2.413333, maximum flight distance: 2750, capacity: 149
8871: 8872: This is a plane. Speed: 136, distance to destination: 1926.000000, time to distance: 14.161765, maximum flight distance: 2690, capacity: 165
8873: This is a plane. Speed: 50, distance to destination: 271.000000, time to distance: 5.420000, maximum flight distance: 3129, capacity: 294
8874: This is a ship. Speed: 196, distance to destination: 1530.000000, time to distance: 7.806122, ship type: liner, displacement: 19758
8875: 8876: 8877: 8878: This is a ship. Speed: 105, distance to destination: 1286.000000, time to distance: 12.247619, ship type: tanker, displacement: 16507
8879: This is a ship. Speed: 149, distance to destination: 473.000000, time to distance: 3.174497, ship type: tugboat, displacement: 24644
8880: This is a plane. Speed: 191, distance to destination: 215.000000, time to distance: 1.125654, maximum flight distance: 3873, capacity: 173
8881: 8882: This is a plane. Speed: 128, distance to destination: 16.000000, time to distance: 0.125000, maximum flight distance: 2253, capacity: 111
8883: This is a plane. Speed: 68, distance to destination: 1081.000000, time to distance: 15.897059, maximum flight distance: 2297, capacity: 295
8884: This is a plane. Speed: 177, distance to destination: 1012.000000, time to distance: 5.717514, maximum flight distance: 2190, capacity: 122
8885: This is a plane. Speed: 60, distance to destination: 325.000000, time to distance: 5.416667, maximum flight distance: 3505, capacity: 139
8886: This is a plane. Speed: 9, distance to destination: 1446.000000, time to distance: 160.666667, maximum flight distance: 3751, capacity: 128
8887: This is a ship. Speed: 44, distance to destination: 1874.000000, time to distance: 42.590909, ship type: tugboat, displacement: 15062
8888: This is a plane. Speed: 179, distance to destination: 1555.000000, time to distance: 8.687151, maximum flight distance: 3817, capacity: 260
8889: 8890: This is a ship. Speed: 111, distance to destination: 200.000000, time to distance: 1.801802, ship type: liner, displacement: 9870
8891: 8892: This is a ship. Speed: 13, distance to destination: 1426.000000, time to distance: 109.692308, ship type: liner, displacement: 18388
8893: 8894: This is a ship. Speed: 182, distance to destination: 1375.000000, time to distance: 7.554945, ship type: liner, displacement: 16984
8895: This is a plane. Speed: 95, distance to destination: 1049.000000, time to distance: 11.042105, maximum flight distance: 2042, capacity: 291
8896: This is a ship. Speed: 41, distance to destination: 937.000000, time to distance: 22.853659, ship type: liner, displacement: 9662
8897: This is a plane. Speed: 143, distance to destination: 57.000000, time to distance: 0.398601, maximum flight distance: 3975, capacity: 180
8898: 8899: This is a plane. Speed: 86, distance to destination: 955.000000, time to distance: 11.104651, maximum flight distance: 3789, capacity: 191
8900: 8901: This is a ship. Speed: 109, distance to destination: 1132.000000, time to distance: 10.385321, ship type: tanker, displacement: 6631
8902: 8903: 8904: This is a plane. Speed: 111, distance to destination: 227.000000, time to distance: 2.045045, maximum flight distance: 3052, capacity: 263
8905: 8906: This is a ship. Speed: 25, distance to destination: 1139.000000, time to distance: 45.560000, ship type: tanker, displacement: 8200
8907: 8908: This is a plane. Speed: 99, distance to destination: 1404.000000, time to distance: 14.181818, maximum flight distance: 3941, capacity: 155
8909: This is a plane. Speed: 119, distance to destination: 1154.000000, time to distance: 9.697479, maximum flight distance: 2302, capacity: 197
8910: This is a ship. Speed: 101, distance to destination: 1746.000000, time to distance: 17.287129, ship type: liner, displacement: 13991
8911: This is a ship. Speed: 168, distance to destination: 1230.000000, time to distance: 7.321429, ship type: tugboat, displacement: 30206
8912: This is a ship. Speed: 35, distance to destination: 1648.000000, time to distance: 47.085714, ship type: tanker, displacement: 18756
8913: This is a ship. Speed: 31, distance to destination: 927.000000, time to distance: 29.903226, ship type: tanker, displacement: 30158
8914: This is a plane. Speed: 73, distance to destination: 871.000000, time to distance: 11.931507, maximum flight distance: 2151, capacity: 101
8915: This is a ship. Speed: 120, distance to destination: 181.000000, time to distance: 1.508333, ship type: tugboat, displacement: 15343
8916: 8917: This is a plane. Speed: 51, distance to destination: 486.000000, time to distance: 9.529412, maximum flight distance: 2400, capacity: 296
8918: 8919: This is a plane. Speed: 65, distance to destination: 1580.000000, time to distance: 24.307692, maximum flight distance: 3398, capacity: 225
8920: 8921: This is a plane. Speed: 139, distance to destination: 1358.000000, time to distance: 9.769784, maximum flight distance: 3350, capacity: 132
8922: 8923: 8924: This is a plane. Speed: 159, distance to destination: 1673.000000, time to distance: 10.522013, maximum flight distance: 2057, capacity: 240
8925: 8926: This is a plane. Speed: 140, distance to destination: 659.000000, time to distance: 4.707143, maximum flight distance: 2889, capacity: 125
8927: 8928: 8929: This is a plane. Speed: 78, distance to destination: 665.000000, time to distance: 8.525641, maximum flight distance: 2714, capacity: 123
8930: This is a ship. Speed: 69, distance to destination: 1985.000000, time to distance: 28.768116, ship type: liner, displacement: 16353
8931: This is a ship. Speed: 58, distance to destination: 568.000000, time to distance: 9.793103, ship type: liner, displacement: 7204
8932: This is a plane. Speed: 64, distance to destination: 42.000000, time to distance: 0.656250, maximum flight distance: 2782, capacity: 129
8933: This is a ship. Speed: 45, distance to destination: 103.000000, time to distance: 2.288889, ship type: tanker, displacement: 31245
8934: This is a plane. Speed: 37, distance to destination: 1771.000000, time to distance: 47.864865, maximum flight distance: 3717, capacity: 296
8935: This is a plane. Speed: 166, distance to destination: 587.000000, time to distance: 3.536145, maximum flight distance: 3772, capacity: 246
8936: This is a ship. Speed: 58, distance to destination: 134.000000, time to distance: 2.310345, ship type: tanker, displacement: 28727
8937: This is a plane. Speed: 162, distance to destination: 512.000000, time to distance: 3.160494, maximum flight distance: 2246, capacity: 168
8938: This is a ship. Speed: 112, distance to destination: 396.000000, time to distance: 3.535714, ship type: liner, displacement: 6469
8939: This is a ship. Speed: 97, distance to destination: 1046.000000, time to distance: 10.783505, ship type: tanker, displacement: 26537
8940: This is a plane. Speed: 113, distance to destination: 457.000000, time to distance: 4.044248, maximum flight distance: 3796, capacity: 124
8941: 8942: This is a ship. Speed: 122, distance to destination: 603.000000, time to distance: 4.942623, ship type: tanker, displacement: 15677
8943: This is a ship. Speed: 199, distance to destination: 482.000000, time to distance: 2.422111, ship type: tugboat, displacement: 24277
8944: This is a ship. Speed: 58, distance to destination: 1664.000000, time to distance: 28.689655, ship type: tanker, displacement: 24831
8945: This is a ship. Speed: 111, distance to destination: 1357.000000, time to distance: 12.225225, ship type: tugboat, displacement: 20722
8946: This is a ship. Speed: 110, distance to destination: 21.000000, time to distance: 0.190909, ship type: liner, displacement: 8163
8947: This is a ship. Speed: 145, distance to destination: 710.000000, time to distance: 4.896552, ship type: tanker, displacement: 12232
8948: This is a ship. Speed: 91, distance to destination: 116.000000, time to distance: 1.274725, ship type: tugboat, displacement: 32723
8949: This is a ship. Speed: 134, distance to destination: 229.000000, time to distance: 1.708955, ship type: tanker, displacement: 2553
8950: 8951: This is a plane. Speed: 19, distance to destination: 210.000000, time to distance: 11.052632, maximum flight distance: 2571, capacity: 102
8952: This is a ship. Speed: 143, distance to destination: 261.000000, time to distance: 1.825175, ship type: tanker, displacement: 4234
8953: This is a plane. Speed: 156, distance to destination: 666.000000, time to distance: 4.269231, maximum flight distance: 3278, capacity: 134
8954: This is a ship. Speed: 191, distance to destination: 130.000000, time to distance: 0.680628, ship type: liner, displacement: 17635
8955: 8956: This is a ship. Speed: 151, distance to destination: 551.000000, time to distance: 3.649007, ship type: tanker, displacement: 18255
8957: 8958: This is a plane. Speed: 198, distance to destination: 787.000000, time to distance: 3.974747, maximum flight distance: 2874, capacity: 271
8959: This is a plane. Speed: 172, distance to destination: 1465.000000, time to distance: 8.517442, maximum flight distance: 2361, capacity: 263
8960: 8961: 8962: 8963: This is a ship. Speed: 194, distance to destination: 529.000000, time to distance: 2.726804, ship type: tanker, displacement: 19918
8964: 8965: This is a ship. Speed: 113, distance to destination: 727.000000, time to distance: 6.433628, ship type: tanker, displacement: 33116
8966: This is a plane. Speed: 170, distance to destination: 1317.000000, time to distance: 7.747059, maximum flight distance: 2214, capacity: 213
8967: This is a ship. Speed: 92, distance to destination: 989.000000, time to distance: 10.750000, ship type: liner, displacement: 29832
8968: This is a ship. Speed: 188, distance to destination: 1435.000000, time to distance: 7.632979, ship type: tugboat, displacement: 22928
8969: This is a plane. Speed: 122, distance to destination: 748.000000, time to distance: 6.131148, maximum flight distance: 3226, capacity: 141
